Team One,Team Two,Percent
Portland Trail Blazers,Boston Celtics,21
Portland Trail Blazers,Atlanta Hawks,17
Portland Trail Blazers,Los Angeles Clippers,13
Portland Trail Blazers,Oklahoma City Thunder,12
Portland Trail Blazers,Toronto Raptors,17
Portland Trail Blazers,Cleveland Cavaliers,26
Portland Trail Blazers,San Antonio Spurs,34
Portland Trail Blazers,Golden State Warriors,41
Detroit Pistons,Philadelphia 76ers,99
Detroit Pistons,Los Angeles Lakers,70
Detroit Pistons,Brooklyn Nets,62
Detroit Pistons,Phoenix Suns,61
Detroit Pistons,Minnesota Timberwolves,61
Detroit Pistons,New Orleans Pelicans,60
Detroit Pistons,New York Knicks,59
Detroit Pistons,Sacramento Kings,57
Detroit Pistons,Milwaukee Bucks,54
Detroit Pistons,Denver Nuggets,49
Detroit Pistons,Orlando Magic,44
Detroit Pistons,Utah Jazz,39
Detroit Pistons,Washington Wizards,40
Detroit Pistons,Houston Rockets,45
Detroit Pistons,Chicago Bulls,48
Detroit Pistons,Memphis Grizzlies,47
Detroit Pistons,Dallas Mavericks,46
Detroit Pistons,Portland Trail Blazers,44
Detroit Pistons,Indiana Pacers,41
Detroit Pistons,Miami Heat,38
Detroit Pistons,Charlotte Hornets,33
Detroit Pistons,Boston Celtics,27
Detroit Pistons,Atlanta Hawks,22
Detroit Pistons,Los Angeles Clippers,18
Detroit Pistons,Oklahoma City Thunder,14
Detroit Pistons,Toronto Raptors,11
Detroit Pistons,Cleveland Cavaliers,13
Detroit Pistons,San Antonio Spurs,20
Detroit Pistons,Golden State Warriors,30
Indiana Pacers,Philadelphia 76ers,99
Indiana Pacers,Los Angeles Lakers,70
Indiana Pacers,Brooklyn Nets,62
Indiana Pacers,Phoenix Suns,61
Indiana Pacers,Minnesota Timberwolves,61
Indiana Pacers,New Orleans Pelicans,61
Indiana Pacers,New York Knicks,61
Indiana Pacers,Sacramento Kings,59
Indiana Pacers,Milwaukee Bucks,56
Indiana Pacers,Denver Nuggets,52
Indiana Pacers,Orlando Magic,47
Indiana Pacers,Utah Jazz,42
Indiana Pacers,Washington Wizards,39
Indiana Pacers,Houston Rockets,41
Indiana Pacers,Chicago Bulls,46
Indiana Pacers,Memphis Grizzlies,48
Indiana Pacers,Dallas Mavericks,47
Indiana Pacers,Portland Trail Blazers,46
Indiana Pacers,Detroit Pistons,44
Indiana Pacers,Miami Heat,41
Indiana Pacers,Charlotte Hornets,39
Indiana Pacers,Boston Celtics,34
Indiana Pacers,Atlanta Hawks,27
Indiana Pacers,Los Angeles Clippers,22
Indiana Pacers,Oklahoma City Thunder,18
Indiana Pacers,Toronto Raptors,15
Indiana Pacers,Cleveland Cavaliers,11
Indiana Pacers,San Antonio Spurs,10
Indiana Pacers,Golden State Warriors,15
Miami Heat,Philadelphia 76ers,99
Miami Heat,Los Angeles Lakers,71
Miami Heat,Brooklyn Nets,62
Miami Heat,Phoenix Suns,61
Miami Heat,Minnesota Timberwolves,62
Miami Heat,New Orleans Pelicans,62
Miami Heat,New York Knicks,62
Miami Heat,Sacramento Kings,61
Miami Heat,Milwaukee Bucks,59
Miami Heat,Denver Nuggets,56
Miami Heat,Orlando Magic,51
Miami Heat,Utah Jazz,45
Miami Heat,Washington Wizards,40
Miami Heat,Houston Rockets,38
Miami Heat,Chicago Bulls,42
Miami Heat,Memphis Grizzlies,47
Miami Heat,Dallas Mavericks,48
Miami Heat,Portland Trail Blazers,47
Miami Heat,Detroit Pistons,45
Miami Heat,Indiana Pacers,44
Miami Heat,Charlotte Hornets,41
Miami Heat,Boston Celtics,39
Miami Heat,Atlanta Hawks,35
